<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.11.23	102.309	102.464	99.918	100.860	325438	22445714600	1
2014.11.30	100.582	101.359	99.981	100.904	353690	0	1
2014.12.07	100.927	101.185	97.443	97.881	385265	390092702000	1
2014.12.14	97.620	98.020	95.214	97.035	385094	395031431000	0
2014.12.21	97.307	97.958	97.106	97.623	479070	512816005000	0
2014.12.28	97.710	98.299	97.297	97.455	476431	468624783000	0
2015.01.04	97.245	97.649	95.630	97.133	562034	0	1300
2015.01.11	97.138	97.590	94.250	96.647	645624	0	1300
2015.01.18	96.564	97.383	93.045	93.111	379243	0	7
2015.01.25	92.629	94.616	90.856	91.121	400649	18000000	2
2015.02.01	90.686	93.104	89.365	92.700	489760	0	2
2015.02.08	92.359	93.097	91.336	92.046	469868	0	7
2015.02.15	92.098	93.449	91.586	93.287	435410	0	2
2015.02.22	93.428	93.961	92.426	93.418	410605	0	7
2015.03.01	93.412	94.172	92.979	93.219	412491	0	7
2015.03.08	93.148	93.594	91.797	92.638	425992	0	6
2015.03.15	92.572	93.826	92.002	93.276	406617	0	1
2015.03.22	93.446	94.670	92.253	92.306	454569	0	7
2015.03.29	92.200	92.365	90.193	90.763	421166	0	6
2015.04.05	90.763	93.050	90.547	92.299	326192	0	1
2015.04.12	92.299	93.036	90.462	92.581	398303	0	1
2015.04.19	92.581	93.272	91.739	93.041	412462	0	1
2015.04.26	92.969	95.945	92.865	94.191	606239	0	4
2015.05.03	94.119	95.936	93.707	94.975	156000	0	2
2015.05.10	94.737	97.294	94.451	95.967	442955	0	4
2015.05.17	95.896	96.081	94.940	95.180	477333	0	8
2015.05.24	95.049	95.994	94.573	94.862	540916	0	9
2015.05.31	94.752	96.982	94.602	95.619	612669	0	2
2015.06.07	95.769	96.094	94.391	95.415	817905	0	3
2015.06.14	95.342	96.308	94.943	95.318	678849	0	3
2015.06.21	95.461	96.179	94.554	94.788	646575	0	4
2015.06.28	93.549	94.981	92.086	92.345	719422	0	1
2015.07.05	91.207	92.413	89.154	91.325	680741	0	7
2015.07.12	90.669	92.423	90.669	91.530	582652	0	3
2015.07.19	91.507	92.251	89.923	90.182	768631	97312672000	5
2015.07.26	89.970	91.014	89.337	90.402	748251	805519527000	10
2015.08.02	90.587	92.224	89.958	92.128	775312	855733101000	9
2015.08.09	92.029	92.682	90.333	91.665	719185	804183021000	10
2015.08.16	91.598	91.887	89.181	89.237	803517	892108954000	21
2015.08.23	88.949	89.158	81.994	87.248	1181103	1089601734000	11
2015.08.30	86.972	87.078	82.108	82.193	921075	1049714853000	8
2015.09.06	82.328	85.898	82.207	85.472	874714	1025417091000	10
2015.09.13	85.287	87.504	84.924	86.180	767608	894441995000	8
2015.09.20	86.254	86.369	82.985	84.699	798224	939950591000	15
2015.09.27	84.659	85.044	82.810	84.530	878175	999298413000	12
2015.10.04	84.657	88.323	84.497	88.128	788823	936124926000	11
2015.10.11	87.907	88.602	86.076	86.813	728893	825984233000	8
2015.10.18	86.613	88.096	85.982	87.615	691608	807473908000	0
2015.10.25	87.577	87.985	85.419	86.023	700438	736075174000	0
2015.11.01	85.660	87.572	85.660	86.751	701640	804572135000	0
2015.11.08	86.632	87.942	86.456	87.338	731008	865815763000	0
2015.11.15	87.028	89.004	86.813	88.835	692332	798939972000	0
2015.11.22	88.829	89.107	88.026	88.216	717742	847974951000	0
2015.11.29	88.319	90.715	88.037	90.296	776727	868468710000	0
2015.12.06	90.340	90.471	86.787	86.882	765331	848054096000	0
2015.12.13	87.261	88.556	86.204	86.867	830618	822115124000	0
2015.12.20	86.905	87.716	86.633	87.434	393885	378961230000	0
2015.12.27	87.400	88.204	87.213	87.631	321116	314827089000	0
2016.01.03	87.529	87.822	81.457	81.467	937930	932147218000	0
2016.01.10	81.630	83.389	79.554	80.237	1000574	1002049592000	0
2016.01.17	79.746	83.514	79.207	83.146	1112337	1180457625000	0
2016.01.24	83.086	86.355	81.470	85.779	1115285	1210908332000	0
2016.01.31	85.890	86.213	82.506	82.511	1138414	1251986898000	12
2016.02.07	82.552	83.475	77.568	80.369	1240437	1268852114000	0
